source POD, destination POD, #cores, #slots,
199,190,1,17,
199,186,1,17,
199,181,1,17,
199,174,1,17,
199,164,1,17,
199,163,1,17,
198,194,1,17,
198,191,1,17,
198,181,1,17,
198,178,1,17,
198,169,1,17,
198,158,1,17,
197,165,1,17,
197,141,1,17,
197,122,1,17,
197,73,1,17,
197,58,1,17,
197,38,1,17,
196,194,1,17,
196,184,1,17,
196,155,1,17,
196,147,1,17,
196,132,1,17,
196,122,1,17,
195,183,1,17,
195,178,1,17,
195,177,1,17,
195,164,1,17,
195,163,1,17,
195,160,1,17,
194,165,1,17,
194,153,1,17,
194,148,1,17,
194,120,1,17,
193,146,1,17,
193,132,1,17,
193,130,1,17,
193,109,1,17,
193,101,1,17,
192,176,1,17,
192,147,1,17,
192,144,1,17,
192,141,1,17,
192,130,1,17,
192,115,1,17,
191,149,1,17,
191,129,1,17,
191,100,1,17,
191,80,1,17,
191,63,1,17,
190,193,1,17,
190,189,1,17,
190,179,1,17,
190,165,1,17,
190,164,1,17,
189,186,1,17,
189,181,1,17,
189,180,1,17,
189,179,1,17,
189,172,1,17,
188,182,1,17,
188,148,1,17,
188,126,1,17,
188,111,1,17,
188,107,1,17,
188,106,1,17,
187,20,1,17,
186,187,1,17,
186,172,1,17,
186,171,1,17,
186,166,1,17,
185,169,1,17,
185,126,1,17,
185,125,1,17,
185,115,1,17,
185,103,1,17,
185,93,1,17,
184,179,1,17,
184,167,1,17,
184,133,1,17,
184,105,1,17,
184,101,1,17,
183,174,1,17,
183,147,1,17,
183,135,1,17,
183,111,1,17,
183,102,1,17,
182,176,1,17,
182,170,1,17,
182,161,1,17,
182,128,1,17,
182,119,1,17,
181,187,1,17,
181,178,1,17,
181,168,1,17,
180,173,1,17,
180,169,1,17,
180,147,1,17,
180,115,1,17,
180,111,1,17,
179,178,1,17,
179,173,1,17,
179,169,1,17,
178,166,1,17,
178,136,1,17,
177,173,1,17,
177,168,1,17,
177,167,1,17,
177,166,1,17,
177,161,1,17,
176,173,1,17,
176,151,1,17,
176,149,1,17,
176,147,1,17,
175,172,1,17,
175,153,1,17,
175,141,1,17,
175,132,1,17,
175,125,1,17,
175,118,1,17,
174,187,1,17,
174,163,1,17,
174,159,1,17,
174,152,1,17,
173,132,1,17,
173,127,1,17,
172,167,1,17,
172,104,1,17,
172,103,1,17,
171,167,1,17,
171,166,1,17,
171,163,1,17,
171,150,1,17,
171,123,1,17,
170,145,1,17,
170,144,1,17,
170,141,1,17,
170,123,1,17,
170,117,1,17,
169,100,1,17,
169,92,1,17,
168,165,1,17,
168,163,1,17,
168,160,1,17,
