id,16
num_pods,125
max_cnk,48,load,0.2
min_cnk,1
tfk_mean,200
tfk_var,100
traffic value,traffic counts
1,89
4,375
8,996
16,1402
40,64
0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,40,8,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,16,0,1,0,0,0,8,0,0,16,0,0,0,16,8,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,0,8,0,0,0,16,0,0,0,0,8,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,40,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,
0,8,8,0,0,0,8,0,0,0,0,0,0,0,16,0,0,8,0,0,16,0,0,0,16,0,1,16,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,8,0,8,0,8,0,16,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,1,0,0,4,8,8,0,8,0,0,0,16,8,0,0,0,16,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,16,16,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,8,0,16,16,0,0,0,16,0,0,0,0,16,0,16,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,8,16,0,0,0,0,0,0,8,0,16,0,0,0,8,0,0,0,0,16,0,1,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,8,0,0,16,0,0,0,0,0,0,0,16,8,16,0,8,4,0,0,40,0,8,
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,8,0,4,0,0,0,0,0,0,0,16,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,16,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,16,0,0,0,0,0,0,16,0,16,0,0,0,16,0,0,16,16,0,0,0,0,40,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,8,0,0,0,0,0,0,0,8,40,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,16,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,4,
