Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
8123,8123,8123,0,8123,8123,8123,0,8123,8123,8123,0,8123,
8290,8290,8290,0,8290,8290,8290,0,8290,8290,8290,0,8290,
8182,8182,8182,0,8182,8182,8182,0,8182,8182,8182,0,8182,
8470,8470,8470,0,8470,8470,8470,0,8470,8470,8470,0,8470,
7493,7493,7493,0,7493,7493,7493,0,7493,7493,7493,0,7493,
7714,7714,7714,0,7714,7714,7714,0,7714,7714,7714,0,7714,
8035,8035,8035,0,8035,8035,8035,0,8035,8035,8035,0,8035,
8176,8176,8176,0,8167,8166,8173,0,8176,8176,8176,0,8176,
7039,7039,7039,0,7039,7039,7039,0,7039,7039,7039,0,7039,
8172,8172,8172,0,8172,8172,8172,0,8172,8172,8172,0,8172,
7740,7740,7740,0,7740,7740,7740,0,7740,7740,7740,0,7740,
8116,8116,8116,0,8116,8116,8116,0,8116,8116,8116,0,8116,
8162,8162,8162,0,8159,8159,8162,0,8162,8162,8162,0,8162,
8240,8240,8240,0,8240,8240,8240,0,8240,8240,8240,0,8240,
7934,7934,7934,0,7934,7934,7934,0,7934,7934,7934,0,7934,
8167,8167,8167,0,8167,8167,8167,0,8167,8167,8167,0,8167,
7633,7633,7633,0,7633,7633,7633,0,7633,7633,7633,0,7633,
8060,8060,8060,0,8060,8060,8060,0,8060,8060,8060,0,8060,
8190,8190,8190,0,8190,8190,8190,0,8190,8190,8190,0,8190,
8166,8166,8166,0,8166,8166,8166,0,8166,8166,8166,0,8166,
