id,14
num_pods,200
max_cnk,78,load,0.2
min_cnk,1
tfk_mean,200
tfk_var,200
traffic value,traffic counts
1,1331
4,1052
8,1517
16,2787
40,1310
0,8,16,0,0,0,1,0,16,0,16,0,0,1,0,0,0,8,40,0,16,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,0,8,0,1,8,16,0,0,0,0,0,16,0,1,0,0,0,0,0,4,1,1,16,0,0,1,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,40,0,0,4,16,1,16,16,0,1,16,0,16,0,0,16,0,8,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,8,0,16,0,0,0,0,0,40,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,40,0,0,0,40,0,8,0,0,0,8,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,8,0,0,40,0,0,0,0,0,0,0,0,8,16,16,0,0,16,0,0,0,40,0,0,0,0,0,0,40,4,0,4,0,0,0,0,0,16,0,0,0,0,1,0,16,0,0,8,0,0,0,0,0,0,0,0,1,0,16,8,0,0,0,0,16,8,1,0,0,0,0,0,16,0,8,8,8,0,40,0,40,1,0,40,0,0,16,0,0,4,1,0,0,16,0,4,0,4,1,0,0,0,0,0,0,40,8,0,0,0,8,0,0,0,8,16,0,0,0,16,0,8,0,8,16,0,40,0,0,0,8,8,0,0,0,0,40,0,0,16,0,4,0,0,0,0,0,40,0,16,16,0,0,1,0,0,40,0,40,0,0,0,0,0,0,4,0,1,16,16,0,8,16,40,0,0,16,0,0,0,0,0,16,0,0,0,16,0,16,1,16,0,0,16,4,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,1,0,16,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,16,0,16,0,0,0,16,0,0,4,16,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,1,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,16,0,16,0,0,0,0,8,4,0,0,0,0,8,0,16,0,0,0,16,0,0,0,4,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,16,0,0,0,0,16,
0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,
1,4,0,0,16,0,0,0,16,0,0,0,0,8,1,40,1,8,0,0,0,0,0,0,0,0,8,0,16,0,4,0,0,0,16,4,8,0,8,16,4,40,16,16,0,4,1,0,8,0,0,0,0,0,40,16,0,0,0,8,0,0,0,0,0,0,0,16,16,16,0,4,40,0,0,16,0,0,0,4,0,0,40,0,0,0,0,0,16,0,16,0,0,8,1,8,8,0,0,0,0,1,1,40,0,0,40,0,0,40,0,0,8,0,4,0,0,0,16,0,0,0,4,0,8,8,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,16,0,0,0,0,8,16,8,1,0,16,0,40,0,16,0,0,4,0,16,0,0,0,0,0,0,0,1,0,40,16,0,0,8,16,0,40,0,8,0,0,8,0,0,16,0,0,0,1,16,8,0,0,0,0,
0,0,1,0,40,16,0,0,40,0,4,0,0,0,40,0,0,0,0,0,0,4,0,0,0,0,0,0,40,0,0,8,0,16,0,1,16,0,16,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,40,0,0,0,8,8,8,0,0,8,0,0,8,0,1,8,1,16,0,0,16,0,0,0,16,8,0,0,0,0,16,0,0,40,0,1,0,0,0,0,40,16,0,0,0,0,0,0,16,0,16,16,0,0,0,0,0,0,40,0,40,0,16,0,4,16,0,16,8,0,0,0,0,0,16,1,16,0,16,0,0,1,16,4,0,16,0,0,0,0,8,8,0,16,0,0,0,0,0,0,0,0,40,8,0,8,0,40,4,4,0,0,16,0,40,1,4,0,0,40,1,16,0,0,1,0,0,0,1,0,16,40,16,0,1,0,0,0,0,0,16,4,0,0,4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,40,16,0,4,0,0,8,0,0,1,40,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,40,0,0,16,0,
0,16,0,16,0,0,16,0,8,0,0,4,4,40,8,0,0,0,0,8,8,1,4,0,0,0,0,0,0,40,0,4,0,16,4,16,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,16,16,0,8,8,0,0,0,0,0,0,0,1,0,0,0,0,16,0,4,8,4,8,16,8,1,8,0,1,4,16,0,0,0,0,1,0,16,1,0,0,0,4,0,16,8,0,4,0,0,4,8,0,16,16,0,0,16,0,0,0,0,0,0,0,40,0,8,0,0,0,0,0,0,4,16,16,0,0,0,4,0,8,0,0,16,0,0,0,0,0,8,16,16,16,0,0,40,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,40,0,16,0,16,0,0,0,1,0,0,0,0,0,0,8,0,0,0,16,40,0,16,0,1,0,0,0,0,0,0,0,0,0,16,
