Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
2996,2996,2996,2996,2996,2996,2996,2996,2996,2996,
2837,2837,2837,2837,2837,2837,2837,2837,2837,2837,
3026,3026,3026,3026,3026,3026,3026,3026,3026,3026,
3105,3105,3105,3105,3105,3105,3105,3105,3105,3105,
3070,3070,3070,3070,3070,3070,3070,3070,3070,3070,
2837,2837,2837,2837,2837,2837,2837,2837,2837,2837,
2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,
3343,3343,3343,3343,3343,3343,3343,3343,3343,3343,
2944,2944,2944,2944,2944,2944,2944,2944,2944,2944,
2960,2960,2960,2960,2960,2960,2960,2960,2960,2960,
